Film,Year,Position,Edition,id_imdb,rate,rate_count,duration,genres,country,budget,gross
The Dresser,1983,Nominee,56,0085461,7.6,4822.0,118.0,[' Drama'],['UK'],1980160.0,5310748.0
The Right Stuff,1983,Nominee,56,0086197,7.8,56166.0,193.0,"[' Adventure', ' Biography', ' Drama', ' History']",['USA'],27000000.0,21192315.0
Tender Mercies,1983,Nominee,56,0086423,7.4,9410.0,92.0,"[' Drama', ' Music']",['USA'],,8443124.0
Amadeus,1984,Winner,57,0086879,8.3,368344.0,160.0,"[' Biography', ' Drama', ' History', ' Music']","['USA', 'France', 'Czechoslovakia', 'Italy']",18000000.0,52066791.0
The Killing Fields,1984,Nominee,57,0087553,7.8,51512.0,141.0,"[' Biography', ' Drama', ' History', ' War']",['UK'],14400000.0,34700291.0
A Passage to India,1984,Nominee,57,0087892,7.3,16964.0,164.0,"[' Adventure', ' Drama', ' History']","['UK', 'USA']",16000000.0,27201487.0
Places in the Heart,1984,Nominee,57,0087921,7.4,10277.0,111.0,[' Drama'],['USA'],,34901614.0
A Soldier's Story,1984,Nominee,57,0088146,7.2,8862.0,101.0,"[' Crime', ' Drama', ' Mystery', ' War']",['USA'],6000000.0,21821347.0
Out of Africa,1985,Winner,58,0089755,7.2,72638.0,161.0,"[' Biography', ' Drama', ' Romance']","['USA', 'UK']",31000000.0,227514205.0
The Color Purple,1985,Nominee,58,0088939,7.8,78166.0,154.0,[' Drama'],['USA'],15000000.0,98467863.0
Kiss of the Spider Woman,1985,Nominee,58,0089424,7.4,14223.0,120.0,[' Drama'],"['Brazil', 'USA']",,17009654.0
Prizzi's Honor,1985,Nominee,58,0089841,6.7,22717.0,130.0,"[' Comedy', ' Crime', ' Drama', ' Romance']",['USA'],,26657534.0
Witness,1985,Nominee,58,0090329,7.4,86213.0,112.0,"[' Crime', ' Drama', ' Romance', ' Thriller']",['USA'],12000000.0,68706993.0
Platoon,1986,Winner,59,0091763,8.1,380562.0,120.0,"[' Drama', ' War']","['USA', 'UK']",6000000.0,138545632.0
Children of a Lesser God,1986,Nominee,59,0090830,7.2,14936.0,119.0,"[' Drama', ' Romance']",['USA'],10500000.0,31853080.0
Hannah and Her Sisters,1986,Nominee,59,0091167,7.9,67074.0,107.0,"[' Comedy', ' Drama']",['USA'],6400000.0,40084041.0
The Mission,1986,Nominee,59,0091530,7.4,55750.0,125.0,"[' Adventure', ' Drama', ' History']","['UK', 'France']",24500000.0,17502499.0
A Room with a View,1986,Nominee,59,0091867,7.3,39598.0,117.0,"[' Drama', ' Romance']",['UK'],3000000.0,21040317.0
The Last Emperor,1987,Winner,60,0093389,7.7,94096.0,163.0,"[' Biography', ' Drama', ' History']","['UK', 'Italy', 'France']",31280000.0,43993508.0
Broadcast News,1987,Nominee,60,0092699,7.2,27104.0,133.0,"[' Comedy', ' Drama', ' Romance']",['USA'],20000000.0,67331309.0
Fatal Attraction,1987,Nominee,60,0093010,6.9,76486.0,119.0,"[' Drama', ' Thriller']",['USA'],14000000.0,320145693.0
Hope and Glory,1987,Nominee,60,0093209,7.3,12377.0,113.0,"[' Comedy', ' Drama', ' Romance']","['UK', 'USA']",,10021120.0
Moonstruck,1987,Nominee,60,0093565,7.1,50080.0,102.0,"[' Comedy', ' Drama', ' Romance']",['USA'],15000000.0,80640528.0
Rain Man,1988,Winner,61,0095953,8.0,472268.0,133.0,[' Drama'],['USA'],25000000.0,354825435.0
The Accidental Tourist,1988,Nominee,61,0094606,6.8,14762.0,121.0,"[' Drama', ' Romance']",['USA'],,32632093.0
Dangerous Liaisons,1988,Nominee,61,0094947,7.6,64467.0,119.0,"[' Drama', ' Romance']","['USA', 'UK']",14000000.0,34670720.0
Mississippi Burning,1988,Nominee,61,0095647,7.8,87986.0,128.0,"[' Crime', ' Drama', ' History', ' Mystery', ' Thriller']",['USA'],15000000.0,34603943.0
Working Girl,1988,Nominee,61,0096463,6.8,51718.0,113.0,"[' Comedy', ' Drama', ' Romance']",['USA'],28000000.0,102953112.0
